repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
5,12,2201,2400,2400,195,2345,NTable_Fresh,11.269927
5,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.861504
5,12,2201,2400,2400,195,2345,Pratt,6.756992
5,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.917664
5,13,2401,2600,2600,195,2540,Pratt,5.488483
5,13,2401,2600,2600,195,2540,NTable_Fresh,9.145087
5,14,2601,2800,2800,193,2733,Pratt,5.415913
5,14,2601,2800,2800,193,2733,NTable_Fresh,9.065918
5,14,2601,2800,2800,193,2733,NTable_SharedReuse,5.096562
5,15,2801,3000,3000,197,2930,NTable_Fresh,9.480532
5,15,2801,3000,3000,197,2930,NTable_SharedReuse,5.060568
5,15,2801,3000,3000,197,2930,Pratt,5.597357
6,1,1,200,200,195,195,Pratt,6.889572
6,1,1,200,200,195,195,NTable_Fresh,11.825272
6,1,1,200,200,195,195,NTable_SharedReuse,9.392099
6,2,201,400,400,196,391,NTable_Fresh,10.699998
6,2,201,400,400,196,391,NTable_SharedReuse,6.172803
6,2,201,400,400,196,391,Pratt,6.466205
6,3,401,600,600,197,588,NTable_SharedReuse,5.61965
6,3,401,600,600,197,588,Pratt,5.887944
6,3,401,600,600,197,588,NTable_Fresh,10.597535
6,4,601,800,800,195,783,Pratt,6.153283
6,4,601,800,800,195,783,NTable_Fresh,10.693379
6,4,601,800,800,195,783,NTable_SharedReuse,5.585068
6,5,801,1000,1000,195,978,NTable_Fresh,11.955819
6,5,801,1000,1000,195,978,NTable_SharedReuse,6.023598
6,5,801,1000,1000,195,978,Pratt,6.785446
6,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.568033
6,6,1001,1200,1200,193,1171,Pratt,6.091029
6,6,1001,1200,1200,193,1171,NTable_Fresh,11.400052
6,7,1201,1400,1400,195,1366,Pratt,5.795636
6,7,1201,1400,1400,195,1366,NTable_Fresh,9.866673
6,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.206639
6,8,1401,1600,1600,198,1564,NTable_Fresh,10.732928
6,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.491358
6,8,1401,1600,1600,198,1564,Pratt,5.98468
6,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.977693
6,9,1601,1800,1800,195,1759,Pratt,5.494612
6,9,1601,1800,1800,195,1759,NTable_Fresh,9.396086
6,10,1801,2000,2000,198,1957,Pratt,6.431132
6,10,1801,2000,2000,198,1957,NTable_Fresh,11.000351
6,10,1801,2000,2000,198,1957,NTable_SharedReuse,6.767348
6,11,2001,2200,2200,193,2150,NTable_Fresh,11.323608
6,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.542124
6,11,2001,2200,2200,193,2150,Pratt,6.266384
6,12,2201,2400,2400,195,2345,NTable_SharedReuse,6.372013
6,12,2201,2400,2400,195,2345,Pratt,6.712675
6,12,2201,2400,2400,195,2345,NTable_Fresh,11.509057
6,13,2401,2600,2600,195,2540,Pratt,5.392889
6,13,2401,2600,2600,195,2540,NTable_Fresh,9.229114
6,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.89554
6,14,2601,2800,2800,193,2733,NTable_Fresh,9.071427
6,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.964223
6,14,2601,2800,2800,193,2733,Pratt,5.350054
6,15,2801,3000,3000,197,2930,NTable_SharedReuse,5.005145
6,15,2801,3000,3000,197,2930,Pratt,5.55373
6,15,2801,3000,3000,197,2930,NTable_Fresh,9.304067
7,1,1,200,200,195,195,NTable_Fresh,12.210302
7,1,1,200,200,195,195,NTable_SharedReuse,8.929553
7,1,1,200,200,195,195,Pratt,7.064806
7,2,201,400,400,196,391,NTable_SharedReuse,6.01188
7,2,201,400,400,196,391,Pratt,5.954565
7,2,201,400,400,196,391,NTable_Fresh,10.504434
7,3,401,600,600,197,588,Pratt,5.828414
7,3,401,600,600,197,588,NTable_Fresh,9.976209
7,3,401,600,600,197,588,NTable_SharedReuse,5.312268
7,4,601,800,800,195,783,NTable_Fresh,10.073215
7,4,601,800,800,195,783,NTable_SharedReuse,5.344175
7,4,601,800,800,195,783,Pratt,5.957759
7,5,801,1000,1000,195,978,NTable_SharedReuse,6.172182
7,5,801,1000,1000,195,978,Pratt,6.977334
7,5,801,1000,1000,195,978,NTable_Fresh,11.778332
7,6,1001,1200,1200,193,1171,Pratt,6.240655
7,6,1001,1200,1200,193,1171,NTable_Fresh,10.513277
7,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.472989
7,7,1201,1400,1400,195,1366,NTable_Fresh,10.04354
7,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.371397
7,7,1201,1400,1400,195,1366,Pratt,5.757266
7,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.419759
7,8,1401,1600,1600,198,1564,Pratt,6.020153
7,8,1401,1600,1600,198,1564,NTable_Fresh,10.390462
7,9,1601,1800,1800,195,1759,Pratt,5.389093
7,9,1601,1800,1800,195,1759,NTable_Fresh,8.938496
7,9,1601,1800,1800,195,1759,NTable_SharedReuse,5.145777
7,10,1801,2000,2000,198,1957,NTable_Fresh,11.075214
7,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.759992
7,10,1801,2000,2000,198,1957,Pratt,6.364201
7,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.409373
7,11,2001,2200,2200,193,2150,Pratt,6.057759
7,11,2001,2200,2200,193,2150,NTable_Fresh,10.453146
7,12,2201,2400,2400,195,2345,Pratt,6.450511
7,12,2201,2400,2400,195,2345,NTable_Fresh,10.82788
7,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.717107
7,13,2401,2600,2600,195,2540,NTable_Fresh,8.998837
